LEVEL3_NAM,LEVEL3_COD,FID_Ecoreg,REALM
Aldabra,ALD,0,Afrotropical
Amsterdam-St.Paul Is.,ASP,0,Afrotropical
Angola,ANG,0,Afrotropical
Ascension,ASC,0,Afrotropical
Benin,BEN,0,Afrotropical
Botswana,BOT,0,Afrotropical
Burkina,BKN,0,Afrotropical
Burundi,BUR,0,Afrotropical
Cabinda,CAB,0,Afrotropical
Cameroon,CMN,0,Afrotropical
Cape Provinces,CPP,0,Afrotropical
Cape Verde,CVI,0,Afrotropical
Caprivi Strip,CPV,0,Afrotropical
Central African Republic,CAF,0,Afrotropical
Chad,CHA,0,Afrotropical
Comoros,COM,0,Afrotropical
Congo,CON,0,Afrotropical
Djibouti,DJI,0,Afrotropical
Equatorial Guinea,EQG,0,Afrotropical
Eritrea,ERI,0,Afrotropical
Ethiopia,ETH,0,Afrotropical
Free State,OFS,0,Afrotropical
Gabon,GAB,0,Afrotropical
"Gambia, The",GAM,0,Afrotropical
Ghana,GHA,0,Afrotropical
Guinea,GUI,0,Afrotropical
Guinea-Bissau,GNB,0,Afrotropical
Gulf of Guinea Is.,GGI,0,Afrotropical
Ivory Coast,IVO,0,Afrotropical
Kenya,KEN,0,Afrotropical
KwaZulu-Natal,NAT,0,Afrotropical
Lesotho,LES,0,Afrotropical
Liberia,LBR,0,Afrotropical
Madagascar,MDG,0,Afrotropical
Malawi,MLW,0,Afrotropical
Mali,MLI,0,Afrotropical
Mauritania,MTN,0,Afrotropical
Mauritius,MAU,0,Afrotropical
Mozambique,MOZ,0,Afrotropical
Namibia,NAM,0,Afrotropical
Niger,NGR,0,Afrotropical
Nigeria,NGA,0,Afrotropical
Northern Provinces,TVL,0,Afrotropical
Oman,OMA,0,Afrotropical
Réunion,REU,0,Afrotropical
Rodrigues,ROD,0,Afrotropical
Rwanda,RWA,0,Afrotropical
Saudi Arabia,SAU,0,Afrotropical
Senegal,SEN,0,Afrotropical
Seychelles,SEY,0,Afrotropical
Sierra Leone,SIE,0,Afrotropical
Socotra,SOC,0,Afrotropical
Somalia,SOM,0,Afrotropical
St.Helena,STH,0,Afrotropical
Sudan,SUD,0,Afrotropical
Swaziland,SWZ,0,Afrotropical
Tanzania,TAN,0,Afrotropical
Togo,TOG,0,Afrotropical
Tristan da Cunha,TDC,0,Afrotropical
Uganda,UGA,0,Afrotropical
Yemen,YEM,0,Afrotropical
Zaïre,ZAI,0,Afrotropical
Zambia,ZAM,0,Afrotropical
Zimbabwe,ZIM,0,Afrotropical
Algeria,ALG,0,Afrotropical
Antarctica,ANT,1,Antarctic
Bouvet I.,BOU,1,Antarctic
Crozet Is.,CRZ,1,Antarctic
Heard-McDonald Is.,HMD,1,Antarctic
Kerguelen,KEG,1,Antarctic
Marion-Prince Edward Is.,MPE,1,Antarctic
South Georgia,SGE,1,Antarctic
South Sandwich Is.,SSA,1,Antarctic
Antipodean Is.,ATP,2,Australasian
Bismarck Archipelago,BIS,2,Australasian
Chatham Is.,CTM,2,Australasian
Lesser Sunda Is.,LSI,2,Australasian
Macquarie Is.,MAQ,2,Australasian
Maluku,MOL,2,Australasian
New Caledonia,NWC,2,Australasian
New Guinea,NWG,2,Australasian
New South Wales,NSW,2,Australasian
New Zealand North,NZN,2,Australasian
New Zealand South,NZS,2,Australasian
Norfolk Is.,NFK,2,Australasian
Northern Territory,NTA,2,Australasian
Queensland,QLD,2,Australasian
Santa Cruz Is.,SCZ,2,Australasian
Solomon Is.,SOL,2,Australasian
South Australia,SOA,2,Australasian
Sulawesi,SUL,2,Australasian
Tasmania,TAS,2,Australasian
Vanuatu,VAN,2,Australasian
Victoria,VIC,2,Australasian
Western Australia,WAU,2,Australasian
Andaman Is.,AND,3,Indomalayan
Assam,ASS,3,Indomalayan
Bangladesh,BAN,3,Indomalayan
Borneo,BOR,3,Indomalayan
Cambodia,CBD,3,Indomalayan
Chagos Archipelago,CGS,3,Indomalayan
China South-Central,CHC,3,Indomalayan
China Southeast,CHS,3,Indomalayan
Christmas I.,XMS,3,Indomalayan
Cocos (Keeling) I.,CKI,3,Indomalayan
East Himalaya,EHM,3,Indomalayan
Hainan,CHH,3,Indomalayan
India,IND,3,Indomalayan
Japan,JAP,3,Indomalayan
Jawa,JAW,3,Indomalayan
Laccadive Is.,LDV,3,Indomalayan
Laos,LAO,3,Indomalayan
Lesser Sunda Is.,LSI,3,Indomalayan
Malaya,MLY,3,Indomalayan
Maldives,MDV,3,Indomalayan
Myanmar,MYA,3,Indomalayan
Nansei-shoto,NNS,3,Indomalayan
Nepal,NEP,3,Indomalayan
Nicobar Is.,NCB,3,Indomalayan
Pakistan,PAK,3,Indomalayan
Philippines,PHI,3,Indomalayan
South China Sea,SCS,3,Indomalayan
Sri Lanka,SRL,3,Indomalayan
Sumatera,SUM,3,Indomalayan
Taiwan,TAI,3,Indomalayan
Thailand,THA,3,Indomalayan
Vietnam,VIE,3,Indomalayan
West Himalaya,WHM,3,Indomalayan
Alabama,ALA,5,Nearctic
Alaska,ASK,5,Nearctic
Alberta,ABT,5,Nearctic
Aleutian Is.,ALU,5,Nearctic
Arizona,ARI,5,Nearctic
Arkansas,ARK,5,Nearctic
Bermuda,BER,5,Nearctic
