family_name,familyName,kingdomName,phylumName,className,orderName
Acanthaceae,ACANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Achariaceae,ACHARIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Achatocarpaceae,ACHATOCARPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Acoraceae,ACORACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ACORALES
Actinidiaceae,ACTINIDIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Aextoxicaceae,AEXTOXICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BERBERIDOPSIDALES
Aizoaceae,AIZOACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Akaniaceae,AKANIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Alismataceae,ALISMATACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Alseuosmiaceae,ALSEUOSMIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Alstroemeriaceae,ALSTROEMERIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Altingiaceae,ALTINGIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Alzateaceae,ALZATEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES
Amaranthaceae,AMARANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Amaryllidaceae,AMARYLLIDACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Amborellaceae,AMBORELLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AMBORELLALES
Anacampserotaceae,ANACAMPSEROTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Anacardiaceae,ANACARDIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES
Ancistrocladaceae,ANCISTROCLADACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
