family_name,familyName,kingdomName,phylumName,className,orderName
Aphanopetalaceae,APHANOPETALACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Apodanthaceae,APODANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Austrobaileyaceae,AUSTROBAILEYACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AUSTROBAILEYALES
Basellaceae,BASELLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Bataceae,BATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Berberidopsidaceae,BERBERIDOPSIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BERBERIDOPSIDALES
Biebersteiniaceae,BIEBERSTEINIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES
Blandfordiaceae,BLANDFORDIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Boryaceae,BORYACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Cannaceae,CANNACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES
Carlemanniaceae,CARLEMANNIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Cephalotaxaceae,CEPHALOTAXACEAE,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES
Circaeasteraceae,CIRCAEASTERACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES
Corsiaceae,CORSIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Cynomoriaceae,CYNOMORIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Cystodiaceae,CYSTODIACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES
Cytinaceae,CYTINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Datiscaceae,DATISCACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Diapensiaceae,DIAPENSIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Dipteridaceae,DIPTERIDACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,GLEICHENIALES
Doryanthaceae,DORYANTHACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Drosophyllaceae,DROSOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Ecdeiocoleaceae,ECDEIOCOLEACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Emblingiaceae,EMBLINGIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Flagellariaceae,FLAGELLARIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Geissolomataceae,GEISSOLOMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CROSSOSOMATALES
Gisekiaceae,GISEKIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Griseliniaceae,GRISELINIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES
Grubbiaceae,GRUBBIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES
Guamatelaceae,GUAMATELACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CROSSOSOMATALES
Halophytaceae,HALOPHYTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Incertae_sedis,INCERTAE_SEDIS,,,,
Ixioliriaceae,IXIOLIRIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Joinvilleaceae,JOINVILLEACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Krameriaceae,KRAMERIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ZYGOPHYLLALES
Lanariaceae,LANARIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Lardizabalaceae,LARDIZABALACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES
