internal_taxon_id,kingdom,phylum,classname,ordername,family,genus,species,taxonomicauthority
1,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,ACANTHACEAE,test,test1,
2,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,ACHARIACEAE,test,test2,
3,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,ACHATOCARPACEAE,test,test3,
4,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ACORALES,ACORACEAE,test,test4,
5,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,ACTINIDIACEAE,test,test5,
6,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BERBERIDOPSIDALES,AEXTOXICACEAE,test,test6,
7,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AIZOACEAE,test,test7,
8,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,AKANIACEAE,test,test8,
9,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE,test,test9,
10,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ALSEUOSMIACEAE,test,test10,
11,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALSTROEMERIACEAE,test,test11,
12,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES,ALTINGIACEAE,test,test12,
13,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,ALZATEACEAE,test,test13,
14,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AMARANTHACEAE,test,test14,
15,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,AMARYLLIDACEAE,test,test15,
16,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AMBORELLALES,AMBORELLACEAE,test,test16,
17,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,ANACAMPSEROTACEAE,test,test17,
18,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,test,test18,
19,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,ANCISTROCLADACEAE,test,test19,
20,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,ANISOPHYLLEACEAE,test,test20,
21,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,test,test21,
22,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CROSSOSOMATALES,APHLOIACEAE,test,test22,
23,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,APIACEAE,test,test23,
24,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,test,test24,
25,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,APONOGETONACEAE,test,test25,
26,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,test,test26,
27,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ARACEAE,test,test27,
28,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,test,test28,
29,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE,test,test29,
30,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,test,test30,
31,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ARGOPHYLLACEAE,test,test31,
32,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PIPERALES,ARISTOLOCHIACEAE,test,test32,
33,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ASPARAGACEAE,test,test33,
34,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ASPHODELACEAE,test,test34,
35,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,ASPLENIACEAE,test,test35,
36,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES,ASTELIACEAE,test,test36,
37,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,test,test37,
38,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,ASTEROPEIACEAE,test,test38,
39,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,ATHEROSPERMATACEAE,test,test39,
40,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,BALANOPACEAE,test,test40,
41,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,BALANOPHORACEAE,test,test41,
42,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,BALSAMINACEAE,test,test42,
43,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,BARBEUIACEAE,test,test43,
44,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,BARBEYACEAE,test,test44,
45,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,test,test45,
46,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,test,test46,
47,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,BETULACEAE,test,test47,
48,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,test,test48,
49,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,BIXACEAE,test,test49,
50,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,BONNETIACEAE,test,test50,
51,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,BORAGINACEAE,test,test51,
52,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,BRASSICACEAE,test,test52,
53,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,test,test53,
54,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,BRUNELLIACEAE,test,test54,
55,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRUNIALES,BRUNIACEAE,test,test55,
56,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,DIOSCOREALES,BURMANNIACEAE,test,test56,
57,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,test,test57,
58,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,BUTOMACEAE,test,test58,
59,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BUXALES,BUXACEAE,test,test59,
60,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BYBLIDACEAE,test,test60,
61,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES,CABOMBACEAE,test,test61,
62,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CACTACEAE,test,test62,
63,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,CALCEOLARIACEAE,test,test63,
64,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CALOPHYLLACEAE,test,test64,
65,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,CALYCANTHACEAE,test,test65,
66,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,CALYCERACEAE,test,test66,
67,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,CAMPANULACEAE,test,test67,
68,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,CAMPYNEMATACEAE,test,test68,
69,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CANELLALES,CANELLACEAE,test,test69,
70,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,CANNABACEAE,test,test70,
71,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,CAPPARACEAE,test,test71,
72,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,CAPRIFOLIACEAE,test,test72,
73,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARDIOPTERIDALES,CARDIOPTERIDACEAE,test,test73,
74,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,CARICACEAE,test,test74,
75,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CARYOCARACEAE,test,test75,
76,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CARYOPHYLLACEAE,test,test76,
77,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,CASUARINACEAE,test,test77,
78,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,test,test78,
79,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CENTROPLACACEAE,test,test79,
80,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,CEPHALOTACEAE,test,test80,
