internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
43994,Cladonia perforata,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,CLADONIACEAE,Cladonia,perforata,,,,,A.Evans,"<i>Cladonia perforata</i> was named by Alexander Evans based on collections from North Gulf Coast Florida, Okaloosa County. No other names have ever been used for this species."
43995,Erioderma pedicellatum,FUNGI,ASCOMYCOTA,LECANOROMYCETES,PELTIGERALES,PANNARIACEAE,Erioderma,pedicellatum,,,,,(Hue) P.M.Jørg.,
58515314,Sarcosoma globosum,FUNGI,ASCOMYCOTA,PEZIZOMYCETES,PEZIZALES,SARCOSOMATACEAE,Sarcosoma,globosum,,,,,(Schmidel) Casp.,
58517597,Cordyceps kirkii,FUNGI,ASCOMYCOTA,SORDARIOMYCETES,HYPOCREALES,CORDYCIPITACEAE,Cordyceps,kirkii,,,,,G.Cunn.,"This is a conspicuous endemic species of <em>Cordyceps</em> on threatened species of endemic giant weta - flightless insects.<br/><br/>The holotype of <em>C. kirkii</em> was collected in 1922, on the threatened Stephens Island Weta, <em>Deinacrida rugosa</em> (Categorised as globally VU (Vulnerable) in 1996 by IUCN), and the next specimens were from 1975 and 2014 - with a further recent photograph (no specimen) from 2018.<br/><br/>Sequence data from the 2014 specimen of <em>C. kirkii</em> for nSSU, nLSU, TEF, RPB1, and RPB2 was incorporated into the Sanjuan <em>et al</em>. (2014) phylogenetic paper on orthopteran <em>Cordyceps</em> of Columbia. <em>C. kirkii</em> is confirmed as a true <em>Cordyceps</em>, but phylogenetically distinct from the Colombian orthoptera-associated species. No genetic data is known for other New Zealand species of <em>Cordyceps</em>."
58517895,Cyttaria exigua,FUNGI,ASCOMYCOTA,LEOTIOMYCETES,CYTTARIALES,CYTTARIACEAE,Cyttaria,exigua,,,,,Gamundí,
58520980,Gymnoderma insulare,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,CLADONIACEAE,Gymnoderma,insulare,,,,,Yoshim. &amp; Sharp,"This attractive macrolichen is easy to recognize by lichen specialists. The species can be identified in the field and because it has been recognized as an extremely rare species for decades, the species is relatively well documented in literature and herbaria."
58521132,Amylocystis lapponica,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,POLYPORALES,FOMITOPSIDACEAE,Amylocystis,lapponica,,,,,(Romell) Bondartsev &amp; Singer,"Records in the Sierra Nevada and Cascade ranges (in California, Oregon and Washington) have been confirmed to be conspecific (M. Ainsworth pers. comm. 2019)."
58521185,Boletopsis grisea,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,THELEPHORALES,BANKERACEAE,Boletopsis,grisea,,,,,(Peck) Bondartsev &amp; Singer,"A very similar species, <em>Boletopsis watlingii</em> (=&#160;<em>B. perplexa</em>) was only described in 2006 (Watling and Milne 2006).<br/><br/>In this assessment we treat&#160;<em>Boletopsis grisea</em> as a complex consisting of at least two genetically different taxa (<em>Boletopsis grisea</em> and <em>B.&#160;</em><em>watlingii</em>&#160;). Their morphologies are very similar and difficult to differentiate in the field."
58521209,Hapalopilus croceus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,POLYPORALES,POLYPORACEAE,Hapalopilus,croceus,,,,,(Pers.) Donk,<p><br/></p>
58521336,Tulostoma niveum,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,AGARICACEAE,Tulostoma,niveum,,,,,Kers,
63579691,Gastrosporium simplex,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,GASTROSPORIACEAE,Gastrosporium,simplex,,,,,Mattir.,"<p>A closely related species, <em>Gastrosporium asiaticum</em>, has been reported from Mongolia. It differs from <em>G. simplex</em> in the structure of the peridium, but is so far only reported from its type locality (a steppe habitat). Its taxonomic status needs to be confirmed with molecular methods.</p>"
70381370,Ramalina confertula,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,RAMALINACEAE,Ramalina,confertula,,,,,Krog &amp; Østh.,
70382699,Ramalina erosa,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,RAMALINACEAE,Ramalina,erosa,,,,,Krog,<p> This species is morphologically  different from all other <em>Ramalina </em>species in Macaronesia (Aptroot and  Schumm 2008) and elsewhere in the world. See Aptroot and Schumm (2008)  for a key to distinguish this species from others.</p>
70384543,Ramalina timdaliana,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,RAMALINACEAE,Ramalina,timdaliana,,,,,Krog,"This is shrubby species growing saxicolous on volcanic rocks. It stands  up to 5 cm high, and it adheres to the substrate surface through a  holdfast 2-4 mm diam. It is richly branched. Branches are solid,  subterete to somewhat complanate, 0-8-1-2(-2) mm wide, often with  shortly linear pseudocyphellae, especially near the base, apices with  several branching points close together. Soredia absent. Cortex c. 25 um  thick, chondroid tissue forming a discontinuous cylinder with a few  chondroid strands interconnected across the medulla. Apothecia numerous,  lateral, up to 3 mm diam.; spores (few seen) bilocular,<br/> 13-14x6 um. Chemistry: Divaricatic acid, triterpenoids, usnic acid. The  species belongs to the <em>Ramalina decipiens</em> group (Krog &amp; Osthagen  1980), a group of Macaronesian endemic species.<br/> The species is very morphologically very  similar to the also endemic <em>R.  jamesii</em>. Main differences are anatomical and chemical. Chondroid tissue  is discontinous in <em>R. timdaliana</em> and continuous in <em>R. jamesii</em> filling  most of the branches.&#160; Further, different terpenoid patterns are found  in both species and salazinic acid is only found in <em>R. jamesii</em>."
70385861,Buellia asterella,FUNGI,ASCOMYCOTA,LECANOROMYCETES,CALICIALES,CALICIACEAE,Buellia,asterella,,,,,Poelt &amp; Sulzer,"This species was described in Poelt &amp; Sulzer, Nova Hedwigia 25: 182-184 (1974). There are no synonyms."
70386009,Cetradonia linearis,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,CLADONIACEAE,Cetradonia,linearis,,,,,(A.Evans) J.C.Wei &amp; Ahti,
70386122,Sulcaria isidiifera,FUNGI,ASCOMYCOTA,LECANOROMYCETES,LECANORALES,PARMELIACEAE,Sulcaria,isidiifera,,,,,Brodo,
70401627,Hericium erinaceus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,RUSSULALES,HERICIACEAE,Hericium,erinaceus,,,,,(Bull.) Pers.,"Molecular analysis of 26 ITS sequences of <em>Hericium erinaceus</em> from North America (USA, Canada), East Asia (Japan, Korea, China, Malaysia) and Europe (Holland, UK) reveals three subclades with weak support values showing clear discrimination between specimens originating from USA, East Asia and UK (Hallenberg <em>et al</em>. 2013). More research is needed to elucidate if the fungi occurring in America, Asia and Europe and believed to be <em>H. erinaceus</em> represent the same species. For the present evaluation of the global threats and conservation status, the species is considered as one and the same across the whole distribution range."
70401892,Pseudotricholoma metapodium,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,TRICHOLOMATACEAE,Pseudotricholoma,metapodium,,,,,(Fr.) Sánchez-García &amp; Matheny,"This species has long been placed in the genus <em>Porpoloma</em> Singer. Recent molecular studies suggest a placement in the genus <em>Pseudotricholoma </em>(Singer) Sánchez-García &amp; Matheny, as it is not closely related to the type species of <em>Porpoloma</em>, <em>P. sejunctum</em> Singer. <em>Pseudotricholoma metapodium</em> is normally easily recognized but be aware of <em>Lepista luscina</em>. It has also been confused with <em>Hygrocybe ovina</em>."
70402359,Rhodotus palmatus,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,AGARICALES,PHYSALACRIACEAE,Rhodotus,palmatus,,,,,(Bull.) Maire,"<em>Rhodotus</em> was regarded as a monotypic genus with <em>R. palmatus</em> species, but recent studies from China revealed that there are two different phylogenetic species: <em>R. palmatus</em> and <em>R. asperior</em>. <em>R. asperior</em> occurs in the tropical and subtropical regions on broadleaved trees of Fagaceae (<em>Castanopsis </em>and <em>Lithocarpus</em>) (Tang <em>et al</em>. 2014)."
70402507,Rubroboletus dupainii,FUNGI,BASIDIOMYCOTA,AGARICOMYCETES,BOLETALES,BOLETACEAE,Rubroboletus,dupainii,,,,,Boud.,"The taxon current names include <em>Suillellus dupainii</em> and <em>Rubroboletus dupainii</em>, with <em>Boletus dupainii</em> as basionym. Reports from North and Central America, Russia far east, and Israel are not considered conspecific in this assessment."
