Accepted.name,Number.of.records,Proportion.of.records..1992,Year.basionym.published,Prediction,Validated,Comments..,acceptedNameAuthor
Otidea onotica,2306,0.78,1794,Not threatened,y,",,",Otidea onotica (Pers.) Fuckel
Agrocybe praecox,3986,0.68,1774,Not threatened,y,",,",Agrocybe praecox (Pers.) Fayod
Candolleomyces candolleanus,5337,0.75,1789,Not threatened,y,",,",Candolleomyces candolleanus (Fr.) D.Wächt. & A.Melzer
Bjerkandera fumosa,1755,0.38,1770,Not threatened,y,",,",Bjerkandera fumosa (Pers.) P.Karst.
Neobulgaria pura,1177,0.81,1796,Not threatened,y,",,",Neobulgaria pura (Pers.) Petr.
Daldinia concentrica,5853,0.71,1690,Not threatened,y,"may be a species complex,,",Daldinia concentrica (Bolton) Ces. & De Not.
Hyphoderma setigerum,2610,0.42,1822,Not threatened,y,",,",Hyphoderma setigerum (Fr.) Donk
Tremella mesenterica,8715,0.88,1774,Not threatened,y,",,",Tremella mesenterica
Biscogniauxia nummularia,1483,0.84,1790,Not threatened,y,",,",Biscogniauxia nummularia (Bull.) Kuntze
Peziza varia,1224,0.8,1789,Not threatened,y,",,",Peziza varia (Hedw.) Alb. & Schwein.
Geastrum fimbriatum,2719,0.74,1801,Not threatened,y,",,",Geastrum fimbriatum Fr.
Morchella semilibera,1599,0.55,1799,Not threatened,y,",,",Morchella semilibera DC.
Peniophorella praetermissa,2570,0.64,1889,Not threatened,y,",,",Peniophorella praetermissa (P.Karst.) K.H.Larss.
Tricholoma sulphureum,2887,0.83,1784,Not threatened,y,",,",Tricholoma sulphureum (Bull.) P.Kumm.
Lycoperdon pratense,2745,0.74,1782,Not threatened,y,",,",Lycoperdon pratense Pers.
Onnia tomentosa,1295,0.52,1821,Not threatened,y,",,",Onnia tomentosa (Fr.) P.Karst.
Mycena acicula,2859,0.79,1774,Not threatened,y,",,",Mycena acicula (Schaeff.) P.Kumm.
Picipes badius,4470,0.84,1788,Not threatened,y,",,",Picipes badius (Pers.) Zmitr. & Kovalenko
Hypholoma fasciculare,14836,0.9,1778,Not threatened,y,",,",Hypholoma fasciculare (Huds.) P.Kumm.
Panellus stipticus,7724,0.76,1774,Not threatened,y,",,",Panellus stipticus (Bull.) P.Karst.
Russula emetica,2780,0.56,1774,Not threatened,y,",,",Russula emetica (Schaeff.) Pers.
Phellinus pomaceus,1826,0.67,1790,Not threatened,y,",,",Phellinus pomaceus (Pers.) Maire
Lycoperdon excipuliforme,3443,0.76,1772,Not threatened,y,",,",Lycoperdon excipuliforme (Scop.) Pers.
Xenasmatella vaga,2073,0.57,1818,Not threatened,y,",,",Xenasmatella vaga (Fr.) Stalpers
Hygrocybe conica,8769,0.81,1774,Not threatened,y," this is aspecies complex - some of the segregates may be threatened when all is resolved (safe to say conica s.l. is LC),,",Hygrocybe conica (Schaeff.) P.Kumm.
Pholiota adiposa,958,0.4,1786,Not threatened,y,",,",Pholiota adiposa (Batsch) P.Kumm.
Amanita fulva,5819,0.8,1774,Not threatened,y,",,",Amanita fulva Fr.
Cortinarius semisanguineus,3435,0.69,1963,Not threatened,y,",,",Cortinarius semisanguineus (Fr.) Gillet
Gymnopus erythropus,1497,0.79,1782,Not threatened,y,",,","Gymnopus erythropus (Pers.) Antonín, Halling & Noordel."
Mycena capillaripes,878,0.81,1888,Not threatened,y,",,",Mycena capillaripes Peck
Trichaptum fuscoviolaceum,1713,0.73,1788,Not threatened,y,",,",Trichaptum fuscoviolaceum (Ehrenb.) Ryvarden
Calocera cornea,6348,0.76,1777,Not threatened,y,",,",Calocera cornea (Batsch) Fr.
